Ticker,symbol,Market Cap,Trailing P/E,Forward P/E,P/B Ratio,Graham Metric,Dividend Yield %,Beta,Alpha %,CROCI %,Sortino Ratio,Volatility,6 Month Appreciation %,Financial Currency,Trailing P/E Graham Status,P/B Ratio Graham Status,Combined P/E x P/B Graham Status,Trailing P/E Sector Status,Forward P/E Sector Status,P/B Ratio Sector Status,sector
KOP,KOP,917332672.0,12.223165,8.741415,1.8125838,22.155510863727002,0.64999997,1.864,24.48,47.82521547404289,0.024833617967409204,0.031623583200910826,2.1482526777625486,USD,Undervalued,Fair Value,Undervalued,Undervalued,Undervalued,Fair Value,Basic Materials
WTTR,WTTR,1190349184.0,15.640626,8.629311,1.3352008,20.8833763477008,2.4,1.648,9.58,27.10527438613933,0.026080670117664746,0.04088324861584122,36.74863379968919,USD,Fair Value,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Basic Materials
FF,FF,218816000.0,10.638298,6.25,1.0683761,11.365703327877801,4.8,0.718,-26.25,6.726797469988383,0.011222945680681651,0.02818120606270735,-18.43393300725866,USD,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Basic Materials
JCTCF,JCTCF,18949402.0,10.601373,,0.76139987,8.07188402402151,,0.348,-14.1,2.1533757665321134,0.019740764890807026,0.029761015748515512,13.179908157975145,USD,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Basic Materials
HUDI,HUDI,42207232.0,12.869565,,0.5672672,7.300482102767999,,2.451,743.0,4.276891696100385,0.11959036978415208,0.17869424917481952,-6.031747665655116,USD,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Basic Materials
HCC,HCC,3382286080.0,7.7821894,11.779599,1.7096705,13.3049796425927,0.49,1.128,33.94,33.06742237439755,0.07649095842372561,0.03303892281023238,17.603193662510918,USD,Undervalued,Fair Value,Undervalued,Undervalued,Fair Value,Fair Value,Basic Materials
CMC,CMC,6664780800.0,9.999999,11.338583,1.5827218,15.827216417278201,1.25,1.342,8.51,28.891086718760807,0.05032719256282016,0.024577405392485742,30.701154692510467,USD,Undervalued,Fair Value,Undervalued,Undervalued,Fair Value,Fair Value,Basic Materials
MUX,MUX,560156352.0,6.825301,-39.068966,1.1609796,7.924035224859598,,1.482,34.88,-7.436805859639345,0.025312553730416413,0.04226282969439575,58.4615352809141,USD,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Basic Materials
HMY,HMY,6050565632.0,12.512821,7.2296295,0.15189953,1.9006916288741302,1.21,1.17,58.89,46.18925573553529,0.053846630252100944,0.04087211599996092,70.33159156009883,ZAR,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Basic Materials
NUE,NUE,41267834880.0,10.118753,14.331389,1.99423,20.17912079519,1.25,1.661,-3.78,33.44644606271233,0.053430236079045554,0.021624722254541612,9.351970642631585,USD,Undervalued,Fair Value,Undervalued,Undervalued,Fair Value,Fair Value,Basic Materials
