Ticker,symbol,Market Cap,Trailing P/E,P/B Ratio,Trailing EPS,Forward P/E,Forward EPS,Dividend Yield %,Beta,Trailing P/E Graham Status,P/B Ratio Graham Status,Combined P/E x P/B Graham Status,Trailing P/E Sector Status,Forward P/E Sector Status,P/B Ratio Sector Status,sector
PEBO,PEBO,964350272.0,7.898256,0.8943384,3.44,7.8299713,3.47,5.74,0.763,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
OBT,OBT,260243168.0,8.778626,1.5719509,5.24,7.958477,5.78,2.0,0.366,Undervalued,Fair Value,Undervalued,Undervalued,Fair Value,Overvalued,Financial Services
XP,XP,11901083648.0,15.500001,0.61190534,1.4,10.483092,2.07,6.0599998,1.668,Fair Value,Undervalued,Undervalued,Overvalued,Overvalued,Undervalued,Financial Services
FRBA,FRBA,305217216.0,12.8,0.8185796,0.95,6.7555556,1.8,1.97,0.883,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Fair Value,Financial Services
BNRE,BNRE,4616858624.0,3.687916,0.9382943,10.51,,,0.83,1.785,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
TCBX,TCBX,249009920.0,9.242424,0.6044192,1.98,8.280542,2.21,,0.649,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Financial Services
PNNT,PNNT,443526624.0,9.189189,0.8885405,0.74,7.3913045,0.92,12.350000399999999,1.566,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
WFC,WFC,197529780224.0,11.752083,1.216808,4.8,10.293796,5.48,2.48,1.206,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Overvalued,Financial Services
BBD,BBD,28248135680.0,10.64,0.17019644,0.25,5.4285717,0.49,1.73,0.644,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Undervalued,Financial Services
CNF,CNF,126191248.0,5.5757575,0.031477746,0.33,61.333336,0.03,,0.048,Undervalued,Undervalued,Undervalued,Undervalued,Overvalued,Undervalued,Financial Services
MFG,MFG,48922025984.0,11.352941,0.0009920719,0.34,3.2711866,1.18,3.3299996999999997,0.488,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Undervalued,Financial Services
CNA,CNA,11719090176.0,9.765237,1.1844915,4.43,8.193181,5.28,4.0700004,0.656,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Overvalued,Financial Services
WBS,WBS,7778304000.0,9.234216,0.92784345,4.91,7.0623055,6.42,3.53,1.322,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
TRMK,TRMK,1568002304.0,9.492592,0.94186383,2.7,10.170634,2.52,3.5900000000000003,0.811,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
BEN,BEN,13011248128.0,13.005262,1.0185909,1.9,8.491408,2.91,5.0200000000000005,1.417,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Fair Value,Financial Services
FGF,FGF,39716740.0,6.666667,0.76086956,0.21,,,,0.922,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Financial Services
SSBI,SSBI,67229752.0,6.117222,0.71951646,1.62,,,4.9000002,0.582,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Financial Services
HYW,HYW,23800000.0,1.3709677,0.021408962,0.62,0.90425533,0.94,,-0.103,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Financial Services
SPNT,SPNT,1977890304.0,6.297297,0.84647244,1.85,6.4722223,1.8,,0.944,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Financial Services
IROQ,IROQ,54756280.0,26.75836,0.71060514,0.61,,,2.4500001,0.524,Overvalued,Undervalued,Undervalued,Overvalued,Fair Value,Undervalued,Financial Services
IX,IX,23753936896.0,13.099363,0.03184193,7.85,9.373747,10.97,2.87,0.903,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Undervalued,Financial Services
BOKF,BOKF,5515888640.0,10.642144,1.0782778,8.02,10.295537,8.29,2.5799999000000002,1.202,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Fair Value,Financial Services
GL,GL,5639392768.0,5.955313,1.2228045,10.07,4.7746816,12.56,1.6,0.68,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Overvalued,Financial Services
ITUB,ITUB,58660200448.0,9.090909,0.30931023,0.66,6.818182,0.88,0.69999998,0.541,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Financial Services
AMG,AMG,5192390656.0,9.183697,1.4803505,17.42,6.5058966,24.59,0.029999999000000003,1.315,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Overvalued,Financial Services
MPB,MPB,318215040.0,8.38428,0.58672535,2.29,6.508475,2.95,4.16,0.575,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Financial Services
FBMS,FBMS,722703616.0,9.686192,0.7583699,2.39,8.6059475,2.69,4.0599998,0.881,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Financial Services
BMO,BMO,66259828736.0,17.232515,0.8941726,5.29,10.10643,9.02,4.9000002,1.176,Fair Value,Undervalued,Undervalued,Overvalued,Fair Value,Fair Value,Financial Services
CMA,CMA,6628474368.0,7.7686334,1.0976064,6.44,8.283113,6.04,5.6799997,1.283,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
BWB,BWB,309246944.0,8.787401,0.862642,1.27,9.073171,1.23,,0.647,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
